,aj_id,aj_date,cnn_id,cnn_date,cosine_similarity,aj_title,cnn_title,match
11611,1046,20/10/2023,4239,20/10/2023,0.735075831,Investigations reveal discrepancies in Israel’s Gaza hospital attack claims,Democratic divisions over Israel heat up over Gaza hospital blast controversy,1
11621,1046,20/10/2023,4251,19/10/2023,0.722078085,Investigations reveal discrepancies in Israel’s Gaza hospital attack claims,"Between 100 and 300 believed killed in Gaza hospital blast, according to preliminary US intelligence assessment",0
11962,1058,19/10/2023,4247,19/10/2023,0.756186366,WHO says aid ‘ready to go’ into Gaza as Israeli bombardment continues,"Vital Gaza aid delivery to be delayed, say multiple sources, as Palestinians face worsening conditions",0
12005,1059,19/10/2023,4257,19/10/2023,0.708639145,Several Palestinians killed by Israeli forces in the occupied West Bank,Gaza conflict spills into the West Bank as settler attacks and clashes leave dozens of Palestinians dead,1
12074,1061,19/10/2023,4256,18/10/2023,0.708352506,Video investigation: What hit al-Ahli Hospital in Gaza?,"The devastating Gaza hospital blast is shrouded in uncertainty. Here’s what we know, and what we don’t",1
12202,1065,19/10/2023,4242,19/10/2023,0.920937777,State Department official resigns over Biden’s handling of Israel-Gaza war,State Department official resigns over Biden administration’s handling of Israel-Hamas conflict,1
12249,1066,19/10/2023,4256,18/10/2023,0.7007339,"‘Free world, where are you?’ Gaza hospital chief pleads amid Israel attacks","The devastating Gaza hospital blast is shrouded in uncertainty. Here’s what we know, and what we don’t",0
12256,1066,19/10/2023,4263,18/10/2023,0.738793969,"‘Free world, where are you?’ Gaza hospital chief pleads amid Israel attacks",US assesses that Israel is ‘not responsible’ for Gaza hospital blast,0
12438,1072,18/10/2023,4210,17/10/2023,0.734647095,What is Israel’s narrative on the Gaza hospital explosion?,"Hundreds likely dead in Gaza hospital blast, as Israeli blockade cripples medical response",0
12450,1072,18/10/2023,4251,19/10/2023,0.713222384,What is Israel’s narrative on the Gaza hospital explosion?,"Between 100 and 300 believed killed in Gaza hospital blast, according to preliminary US intelligence assessment",0
12455,1072,18/10/2023,4256,18/10/2023,0.826424837,What is Israel’s narrative on the Gaza hospital explosion?,"The devastating Gaza hospital blast is shrouded in uncertainty. Here’s what we know, and what we don’t",0
12460,1072,18/10/2023,4261,18/10/2023,0.819528878,What is Israel’s narrative on the Gaza hospital explosion?,How the Gaza hospital explosion set off a furious scramble before Biden’s Israel trip,0
12462,1072,18/10/2023,4263,18/10/2023,0.805145979,What is Israel’s narrative on the Gaza hospital explosion?,US assesses that Israel is ‘not responsible’ for Gaza hospital blast,1
12467,1072,18/10/2023,4269,18/10/2023,0.808115363,What is Israel’s narrative on the Gaza hospital explosion?,Gaza hospital explosion sparks anger and protests in Arab countries,0
12474,1073,18/10/2023,4210,17/10/2023,0.734225035,Israel-Gaza: What international law says about the deadly hospital strike,"Hundreds likely dead in Gaza hospital blast, as Israeli blockade cripples medical response",0
12491,1073,18/10/2023,4256,18/10/2023,0.754150033,Israel-Gaza: What international law says about the deadly hospital strike,"The devastating Gaza hospital blast is shrouded in uncertainty. Here’s what we know, and what we don’t",0
12498,1073,18/10/2023,4263,18/10/2023,0.811230659,Israel-Gaza: What international law says about the deadly hospital strike,US assesses that Israel is ‘not responsible’ for Gaza hospital blast,0
12503,1073,18/10/2023,4269,18/10/2023,0.762007415,Israel-Gaza: What international law says about the deadly hospital strike,Gaza hospital explosion sparks anger and protests in Arab countries,0
12539,1074,18/10/2023,4269,18/10/2023,0.751804948,Second day of protests across the Middle East after Gaza hospital strike,Gaza hospital explosion sparks anger and protests in Arab countries,0
12742,1080,18/10/2023,4255,18/10/2023,0.735705972,"Biden arrives in Tel Aviv, backs Israel’s narrative on Gaza hospital strike",Biden snubbed by Middle East allies as Arab world seethes over Gaza hospital blast,0
12743,1080,18/10/2023,4256,18/10/2023,0.704593301,"Biden arrives in Tel Aviv, backs Israel’s narrative on Gaza hospital strike","The devastating Gaza hospital blast is shrouded in uncertainty. Here’s what we know, and what we don’t",0
12745,1080,18/10/2023,4258,18/10/2023,0.7658391,"Biden arrives in Tel Aviv, backs Israel’s narrative on Gaza hospital strike","Biden touts aid negotiations for Gaza, as US assesses Israel ‘not responsible’ for hospital blast",1
12748,1080,18/10/2023,4261,18/10/2023,0.823769927,"Biden arrives in Tel Aviv, backs Israel’s narrative on Gaza hospital strike",How the Gaza hospital explosion set off a furious scramble before Biden’s Israel trip,0
12749,1080,18/10/2023,4262,18/10/2023,0.789677382,"Biden arrives in Tel Aviv, backs Israel’s narrative on Gaza hospital strike",Hospital blast looms over Biden’s complicated diplomatic mission to Israel,0
12750,1080,18/10/2023,4263,18/10/2023,0.703455806,"Biden arrives in Tel Aviv, backs Israel’s narrative on Gaza hospital strike",US assesses that Israel is ‘not responsible’ for Gaza hospital blast,0
12922,1085,18/10/2023,4255,18/10/2023,0.72817421,Why has Jordan cancelled Biden visit after bombing of Gaza hospital?,Biden snubbed by Middle East allies as Arab world seethes over Gaza hospital blast,1
12958,1086,18/10/2023,4255,18/10/2023,0.736620784,What can Biden’s Israel visit accomplish after Gaza hospital bombing?,Biden snubbed by Middle East allies as Arab world seethes over Gaza hospital blast,0
12959,1086,18/10/2023,4256,18/10/2023,0.714533627,What can Biden’s Israel visit accomplish after Gaza hospital bombing?,"The devastating Gaza hospital blast is shrouded in uncertainty. Here’s what we know, and what we don’t",0
12961,1086,18/10/2023,4258,18/10/2023,0.767034292,What can Biden’s Israel visit accomplish after Gaza hospital bombing?,"Biden touts aid negotiations for Gaza, as US assesses Israel ‘not responsible’ for hospital blast",0
12964,1086,18/10/2023,4261,18/10/2023,0.808460832,What can Biden’s Israel visit accomplish after Gaza hospital bombing?,How the Gaza hospital explosion set off a furious scramble before Biden’s Israel trip,0
12965,1086,18/10/2023,4262,18/10/2023,0.764938533,What can Biden’s Israel visit accomplish after Gaza hospital bombing?,Hospital blast looms over Biden’s complicated diplomatic mission to Israel,1
13014,1088,18/10/2023,4210,17/10/2023,0.747090459,What we know so far about the deadly strike on a Gaza hospital,"Hundreds likely dead in Gaza hospital blast, as Israeli blockade cripples medical response",0
13026,1088,18/10/2023,4251,19/10/2023,0.758496702,What we know so far about the deadly strike on a Gaza hospital,"Between 100 and 300 believed killed in Gaza hospital blast, according to preliminary US intelligence assessment",0
13031,1088,18/10/2023,4256,18/10/2023,0.812483311,What we know so far about the deadly strike on a Gaza hospital,"The devastating Gaza hospital blast is shrouded in uncertainty. Here’s what we know, and what we don’t",1
13036,1088,18/10/2023,4261,18/10/2023,0.726184726,What we know so far about the deadly strike on a Gaza hospital,How the Gaza hospital explosion set off a furious scramble before Biden’s Israel trip,0
13038,1088,18/10/2023,4263,18/10/2023,0.761325717,What we know so far about the deadly strike on a Gaza hospital,US assesses that Israel is ‘not responsible’ for Gaza hospital blast,0
13043,1088,18/10/2023,4269,18/10/2023,0.793853581,What we know so far about the deadly strike on a Gaza hospital,Gaza hospital explosion sparks anger and protests in Arab countries,0
13137,1091,17/10/2023,4277,17/10/2023,0.8487221,‘We only wanted to leave’: One Palestinian family’s attempt to flee Gaza,‘There is no way I can leave family members behind’: Palestinian-Americans in Gaza face unthinkable choice,0
13178,1093,17/10/2023,4210,17/10/2023,0.704586983,World reacts as Gaza officials say 500 killed in Israeli strike on hospital,"Hundreds likely dead in Gaza hospital blast, as Israeli blockade cripples medical response",0
13210,1094,17/10/2023,4210,17/10/2023,0.771225214,Gaza authorities say hundreds killed in Israeli air raid on hospital,"Hundreds likely dead in Gaza hospital blast, as Israeli blockade cripples medical response",1
13334,1097,17/10/2023,4282,16/10/2023,0.749037087,Will Israel actually allow much-needed aid into Gaza?,Diplomatic aid efforts ramp up for ‘strangled’ Gaza as regional conflict fears grow,0
13536,1104,17/10/2023,4258,18/10/2023,0.757880926,Biden to visit Israel as Gaza faces humanitarian catastrophe,"Biden touts aid negotiations for Gaza, as US assesses Israel ‘not responsible’ for hospital blast",0
13745,1111,16/10/2023,4214,15/10/2023,0.733263731,Gaza’s dire humanitarian crisis explained,Gaza explained: What to know about the enclave,0
13759,1111,16/10/2023,4282,16/10/2023,0.752093315,Gaza’s dire humanitarian crisis explained,Diplomatic aid efforts ramp up for ‘strangled’ Gaza as regional conflict fears grow,0
13764,1111,16/10/2023,4289,15/10/2023,0.726156116,Gaza’s dire humanitarian crisis explained,"Middle East on ‘verge of the abyss,’ UN warns as Gaza suffers and Israel prepares for offensive",0
13863,1115,16/10/2023,4282,16/10/2023,0.755804181,Humanitarian aid stuck at Gaza border as WHO warns of ‘catastrophe’,Diplomatic aid efforts ramp up for ‘strangled’ Gaza as regional conflict fears grow,0
14070,1123,16/10/2023,4281,16/10/2023,0.721227765,Biden weighs Israel visit after Netanyahu extends invite amid Gaza war,President Joe Biden will visit Israel in high-stakes trip,1
14257,1131,14/10/2023,4286,14/10/2023,0.722011209,The Gaza medics who won’t give in to Israel’s evacuation demand,Streets ‘reek of blood:’ Gazans run out of time after Israel’s evacuation deadline,0
14306,1133,14/10/2023,4285,14/10/2023,0.742524743,"Analysis: Propaganda, deception, and fake news in the Israel-Hamas conflict",The Israel-Hamas war reveals how social media sells you the illusion of reality,1
14820,1150,13/10/2023,4286,14/10/2023,0.700803936,"Israel’s evacuation order for Gaza ‘death sentence’ for patients, WHO says",Streets ‘reek of blood:’ Gazans run out of time after Israel’s evacuation deadline,0
14843,1150,13/10/2023,4318,12/10/2023,0.719316959,"Israel’s evacuation order for Gaza ‘death sentence’ for patients, WHO says",‘Complete paralysis:’ Palestinian medics say disaster awaits Gaza as Israel pounds enclave with airstrikes,0
14956,1154,13/10/2023,4286,14/10/2023,0.753680229,"Fear, confusion as Israel issues evacuation order for northern Gaza",Streets ‘reek of blood:’ Gazans run out of time after Israel’s evacuation deadline,0
14964,1154,13/10/2023,4302,13/10/2023,0.735465884,"Fear, confusion as Israel issues evacuation order for northern Gaza",Israel tells 1.1 million Gazans to evacuate south. UN says order is ‘impossible’,0
15066,1157,13/10/2023,4302,13/10/2023,0.781180382,Israel orders 1.1 million people in Gaza to move south: What to know,Israel tells 1.1 million Gazans to evacuate south. UN says order is ‘impossible’,1
15389,1165,12/10/2023,4313,12/10/2023,0.722236454,"Under Israeli bombs, Gaza’s Palestinians worry they may die of hunger","In Gaza, Palestinians have no safe place from Israel’s bombs",0
15702,1172,12/10/2023,4334,11/10/2023,0.702698827,"US top diplomat Blinken visits Israel, urges protection of Gaza civilians",US in talks with countries including Israel and Egypt to allow safe passage of Americans and other civilians out of Gaza,0
15772,1174,12/10/2023,4318,12/10/2023,0.748061538,"Gaza medics say Israel targeting ambulances, health facilities",‘Complete paralysis:’ Palestinian medics say disaster awaits Gaza as Israel pounds enclave with airstrikes,0
16021,1180,12/10/2023,4315,12/10/2023,0.791869283,"Israel-Hamas war: List of key events, day 6",Israel at war with Hamas: The week in photos,1
16258,1185,11/10/2023,4344,10/10/2023,0.712481499,Why is Gaza out of fuel — and what now?,‘We have no water’: Gaza faces deeper humanitarian crisis as Israel tightens its hold,0
16262,1185,11/10/2023,4348,10/10/2023,0.733873427,Why is Gaza out of fuel — and what now?,Israel just shut a gas field near Gaza. Here’s why that matters,0
16553,1192,11/10/2023,4330,11/10/2023,0.708073199,Gaza faces ‘humanitarian catastrophe’ as power plant running out of fuel,Israel forms emergency government and steps up Gaza offensive as brutality of Hamas attacks laid bare,0
16558,1192,11/10/2023,4335,11/10/2023,0.706078231,Gaza faces ‘humanitarian catastrophe’ as power plant running out of fuel,"Gaza’s sole power station stops working as fuel runs out, after Israel orders ‘complete’ blockade",1
16566,1192,11/10/2023,4344,10/10/2023,0.771612585,Gaza faces ‘humanitarian catastrophe’ as power plant running out of fuel,‘We have no water’: Gaza faces deeper humanitarian crisis as Israel tightens its hold,0
16618,1194,11/10/2023,4022,10/10/2023,0.716482043,"Israel-Hamas war: List of key events, day 5",Visualizing the Israel-Hamas war,0
16628,1194,11/10/2023,4315,12/10/2023,0.791229963,"Israel-Hamas war: List of key events, day 5",Israel at war with Hamas: The week in photos,1
17037,1203,10/10/2023,4359,09/10/2023,0.721804619,Which airlines paused or cancelled flights to Israel after Hamas attacks?,Multiple airlines cancel flights across Israel after government declares war,1
17132,1206,10/10/2023,4330,11/10/2023,0.71309799,‘No safe place’ in Gaza as Israeli attacks overwhelm hospitals,Israel forms emergency government and steps up Gaza offensive as brutality of Hamas attacks laid bare,0
17228,1208,10/10/2023,4344,10/10/2023,0.767052352,What to know about the deteriorating humanitarian situation in Gaza,‘We have no water’: Gaza faces deeper humanitarian crisis as Israel tightens its hold,0
17371,1212,10/10/2023,4276,09/10/2023,0.718577147,Hamas says will kill hostages if Israeli attacks on Gaza civilians continue,"Civilian hostages in Hamas custody killed in Be’eri near Gaza border, CNN verified videos show",0
17405,1212,10/10/2023,4358,09/10/2023,0.773563623,Hamas says will kill hostages if Israeli attacks on Gaza civilians continue,"Israeli defense minister orders ‘complete siege’ of Gaza, as Hamas threatens hostages",0
17488,1214,10/10/2023,4359,09/10/2023,0.789167404,Major international airlines suspend flights to Israel amid war on Gaza,Multiple airlines cancel flights across Israel after government declares war,1
18022,1231,09/10/2023,4276,09/10/2023,0.720833004,‘Dozens’ of civilians being held hostage by Hamas: Israeli military,"Civilian hostages in Hamas custody killed in Be’eri near Gaza border, CNN verified videos show",0
18037,1231,09/10/2023,4353,08/10/2023,0.721110702,‘Dozens’ of civilians being held hostage by Hamas: Israeli military,"Festivalgoers, children, soldiers: What we know about the people captured by Hamas",0
18042,1231,09/10/2023,4358,09/10/2023,0.730860233,‘Dozens’ of civilians being held hostage by Hamas: Israeli military,"Israeli defense minister orders ‘complete siege’ of Gaza, as Hamas threatens hostages",0
18056,1232,09/10/2023,4291,09/10/2023,0.707763433,"Israel-Hamas conflict: List of key events, day 3 after surprise attack",Israel is at war with Hamas. Here’s what to know,0
18071,1232,09/10/2023,4354,10/10/2023,0.707959294,"Israel-Hamas conflict: List of key events, day 3 after surprise attack",Israel’s war with Hamas will cause deep and wide political shockwaves,0
18237,1238,08/10/2023,4291,09/10/2023,0.723634005,What is Hamas? A simple guide to the armed Palestinian group,Israel is at war with Hamas. Here’s what to know,0
18238,1238,08/10/2023,4339,09/10/2023,0.79282701,What is Hamas? A simple guide to the armed Palestinian group,What is Hamas and why is it attacking Israel now?,1
18256,1238,08/10/2023,4369,07/10/2023,0.723634005,What is Hamas? A simple guide to the armed Palestinian group,Israel is at war with Hamas. Here’s what to know,0
18324,1241,08/10/2023,4291,09/10/2023,0.710620463,"Israel-Hamas conflict: List of key events, day 2 after surprise attack",Israel is at war with Hamas. Here’s what to know,0
18343,1241,08/10/2023,4369,07/10/2023,0.710620463,"Israel-Hamas conflict: List of key events, day 2 after surprise attack",Israel is at war with Hamas. Here’s what to know,0
18382,1244,07/10/2023,3879,07/10/2023,0.723434448,What happened in Israel? A breakdown of how Hamas attack unfolded,In pictures: Israel at war with Hamas,0
18391,1244,07/10/2023,4369,07/10/2023,0.727650046,What happened in Israel? A breakdown of how Hamas attack unfolded,Israel is at war with Hamas. Here’s what to know,0
18439,1247,07/10/2023,4369,07/10/2023,0.710080266,Why the Palestinian group Hamas launched an attack on Israel? All to know,Israel is at war with Hamas. Here’s what to know,1
